<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;03.09.2018;10:01;107900.00;108060.00;107900.00;108030.00;3
SPFB.RTS-12.18;1;03.09.2018;10:02;107960.00;107960.00;107960.00;107960.00;5
SPFB.RTS-12.18;1;03.09.2018;10:04;108000.00;108000.00;108000.00;108000.00;8
SPFB.RTS-12.18;1;03.09.2018;10:05;108000.00;108000.00;108000.00;108000.00;1
SPFB.RTS-12.18;1;03.09.2018;10:08;108080.00;108080.00;108080.00;108080.00;1
SPFB.RTS-12.18;1;03.09.2018;10:09;108200.00;108250.00;108200.00;108250.00;15
SPFB.RTS-12.18;1;03.09.2018;10:11;108250.00;108250.00;108250.00;108250.00;2
SPFB.RTS-12.18;1;03.09.2018;10:12;108250.00;108250.00;108250.00;108250.00;8
SPFB.RTS-12.18;1;03.09.2018;10:14;108200.00;108200.00;108200.00;108200.00;3
SPFB.RTS-12.18;1;03.09.2018;10:15;108290.00;108290.00;108290.00;108290.00;1
SPFB.RTS-12.18;1;03.09.2018;10:20;108050.00;108050.00;108030.00;108030.00;16
SPFB.RTS-12.18;1;03.09.2018;10:21;108000.00;108000.00;107980.00;107980.00;6
SPFB.RTS-12.18;1;03.09.2018;10:22;107980.00;107980.00;107980.00;107980.00;1
SPFB.RTS-12.18;1;03.09.2018;10:27;108000.00;108000.00;107900.00;107900.00;3
SPFB.RTS-12.18;1;03.09.2018;10:29;107800.00;107800.00;107720.00;107720.00;20
SPFB.RTS-12.18;1;03.09.2018;10:31;107750.00;107820.00;107720.00;107820.00;14
SPFB.RTS-12.18;1;03.09.2018;10:32;107910.00;107910.00;107910.00;107910.00;5
SPFB.RTS-12.18;1;03.09.2018;10:33;108010.00;108010.00;108010.00;108010.00;92
SPFB.RTS-12.18;1;03.09.2018;10:34;108010.00;108010.00;107950.00;107950.00;53
SPFB.RTS-12.18;1;03.09.2018;10:37;108000.00;108000.00;108000.00;108000.00;20
SPFB.RTS-12.18;1;03.09.2018;10:39;108050.00;108050.00;108050.00;108050.00;2
SPFB.RTS-12.18;1;03.09.2018;10:42;108030.00;108030.00;108030.00;108030.00;8
SPFB.RTS-12.18;1;03.09.2018;10:49;108030.00;108050.00;108030.00;108050.00;3
SPFB.RTS-12.18;1;03.09.2018;11:02;108030.00;108030.00;108030.00;108030.00;3
SPFB.RTS-12.18;1;03.09.2018;11:03;108030.00;108030.00;108030.00;108030.00;3
SPFB.RTS-12.18;1;03.09.2018;11:04;108220.00;108220.00;108220.00;108220.00;1
SPFB.RTS-12.18;1;03.09.2018;11:05;108140.00;108140.00;108140.00;108140.00;3
SPFB.RTS-12.18;1;03.09.2018;11:07;108110.00;108210.00;108110.00;108210.00;4
SPFB.RTS-12.18;1;03.09.2018;11:10;108220.00;108250.00;108220.00;108250.00;7
SPFB.RTS-12.18;1;03.09.2018;11:23;107950.00;108030.00;107950.00;108030.00;28
SPFB.RTS-12.18;1;03.09.2018;11:25;107910.00;107910.00;107910.00;107910.00;7
SPFB.RTS-12.18;1;03.09.2018;11:26;107780.00;107810.00;107780.00;107810.00;11
SPFB.RTS-12.18;1;03.09.2018;11:50;107840.00;107880.00;107840.00;107880.00;2
SPFB.RTS-12.18;1;03.09.2018;11:58;107740.00;107740.00;107660.00;107660.00;60
SPFB.RTS-12.18;1;03.09.2018;11:59;107650.00;107650.00;107650.00;107650.00;1
